TEAM,DATE,MATCHUP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
LAL,10/20/17,LAL @ PHX,W,240,132,48,93,.516,12,26,.462,24,33,.727,5,37,42,22,8,3,18,31,2
MIN,10/20/17,MIN vs. UTA,W,240,100,36,81,.444,7,22,.318,21,26,.808,10,34,44,17,11,2,15,17,3
GSW,10/20/17,GSW @ NOP,W,240,128,47,92,.511,18,41,.439,16,20,.800,10,39,49,29,6,8,18,23,8
PHI,10/20/17,PHI vs. BOS,L,240,92,35,92,.380,10,32,.313,12,16,.750,14,33,47,20,7,4,16,30,-10
IND,10/20/17,IND vs. POR,L,240,96,35,78,.449,4,18,.222,22,33,.667,6,33,39,15,1,4,12,17,-18
BKN,10/20/17,BKN vs. ORL,W,240,126,46,92,.500,9,27,.333,25,35,.714,15,33,48,22,13,6,18,17,5
WAS,10/20/17,WAS vs. DET,W,240,115,40,75,.533,6,17,.353,29,35,.829,7,30,37,25,12,7,16,18,4
PHX,10/21/17,PHX @ LAC,L,240,88,27,71,.380,6,24,.250,28,38,.737,4,32,36,19,8,3,19,27,-42
HOU,10/21/17,HOU vs. DAL,W,240,107,39,82,.476,11,47,.234,18,22,.818,8,46,54,17,12,4,13,24,16
SAS,10/21/17,SAS @ CHI,W,240,87,38,93,.409,1,12,.083,10,16,.625,14,38,52,25,8,3,11,14,10
DAL,10/21/17,DAL @ HOU,L,240,91,31,84,.369,13,31,.419,16,21,.762,8,33,41,19,6,0,14,19,-16
IND,10/21/17,IND @ MIA,L,240,108,43,96,.448,7,19,.368,15,21,.714,13,32,45,18,9,4,10,18,-4
MIL,10/21/17,MIL vs. POR,W,240,113,42,80,.525,7,18,.389,22,30,.733,7,28,35,22,9,8,14,23,3
DEN,10/21/17,DEN vs. SAC,W,240,96,37,85,.435,10,30,.333,12,20,.600,18,40,58,25,7,2,16,19,17
TOR,10/21/17,TOR vs. PHI,W,240,128,42,89,.472,13,44,.295,31,37,.838,8,43,51,23,5,10,13,29,34
SAC,10/21/17,SAC @ DEN,L,240,79,31,85,.365,8,22,.364,9,13,.692,12,27,39,15,6,3,13,21,-17
CHI,10/21/17,CHI vs. SAS,L,240,77,31,82,.378,8,28,.286,7,9,.778,8,40,48,18,3,5,19,15,-10
